"","g0","g1","g2","g3","g4","g5","g6"
"Cacna1s",3.96059093204883e-05,0.000209981207487392,0,8.86238641467062e-05,0,0,0
"Gm15850",0.000469584362635032,0.000492329328767805,0.00025510115580625,0.000736658778700739,0.00136245567340237,0.00186815084961798,0.00514081990936735
"Kif21b",0.281298319430297,0.19549429183674,0.161728355228646,0.17598867438513,0.208842162959586,0.180704770128007,0.544782122491418
"Gm26781",0.000373412513375013,0.000365402519235325,0.000353414718183143,0.000400066621103094,0.00038685692290135,0,0.00146102710205274
"Camsap2",0.145348120373224,0.159152593189238,0.15641961902701,0.154184507733032,0.145232638135956,0.157878859771415,0.158299896081343
"9230116N13Rik",0.0186666441407945,0.0202803892474182,0.0149308659260521,0.0174146198661164,0.0180171030028651,0.0184869196245469,0.0309557515095234
"Ddx59",0.0530799481469582,0.0371895181884322,0.0443972323192031,0.0470329893659305,0.055762822986094,0.0471179774302103,0.0341830437136221
"Kif14",0.659760134595473,0.0331691521365192,0.307320225017593,0.133334215917509,0.459021909806237,0.0306475313488059,0.0155851960434323
"Gm37799",0.00387720904287895,0.00021818992494558,0.0014426867619933,0.000382110168685854,0.00149633526764973,0.000380512522971541,0
"Gm57131",0.00644537455020914,0.014285482963896,0.00596630908567681,0.0124048400826915,0.00627740142224152,0.0123435416746109,0.0838161608852114
"Gm33994",0.00850471359450776,0.0115531748440506,0.00624204384833176,0.00762921143568878,0.00598157585774643,0.00555628007129497,0.0411970958236921
"4933409D19Rik",0,0,0,0,0,0,0
"Platr23",0.000275366697170256,0.000422737016967925,0.000270342792042667,0.000316499773320531,0.000209603069427349,0.000929021356383349,0.000916497458323424
"Zfp281",0.247884722296823,0.298658118472194,0.22778865459962,0.268055390535326,0.22976352126591,0.280950967625447,0.465580808074052
"Gm19705",0.0813782676770577,0.0890496743783397,0.0536985691050935,0.0519616159645418,0.0241631910126418,0.0275928529582761,0.62052973950732
"Platr22",0.00167089480969456,0.00327412872285584,0.00141249538314711,0.0012895445706688,0.000634237188815332,0.00179888199076634,0.00946615355899595
"Nr5a2",4.14711225480173e-05,0,0,0,0,0,0
"Gm4258",0.0369621853165366,0.0476565017254739,0.0234151213974784,0.0215930460690827,0.015172524723755,0.0204130890678213,0.0284326693090244
"Gm26936",0.000342216520826765,0.000410260499138563,0.000184369208438073,0.000251089654257997,0.000356046070643786,0,0
"Gm26930",0.00187624244549883,0.00241777724491373,0.000831208914612097,0.000860751493579846,0.00092558554685333,0,0
"Mir181a-1hg",0.00111374355458692,0.00137974815705432,0.000607697552266214,0.000334250329026754,0,0.000421381646368432,0.00103732126306312
"Ptprc",14.7743548278722,17.0659170737145,12.0399627042158,13.4993229100255,11.9054316010858,12.5200618920845,23.872959141492
"Gm28556",0.00325109277908252,0.00425178966063394,0.00249629963486862,0.00361851964182711,0.00104046913434646,0.00300353595200866,0.00585941589330524
"Atp6v1g3",0.00395619251067632,0.00461467499914999,0.00445078405436795,0.00296661387635423,0.00173253740939189,0.00326098660608174,0.00522445113420152
"Nek7",0.957929162292706,1.02601431026051,0.824236590928243,0.894311758515061,0.85272145922966,0.918460503424132,1.74824696001772
"Gm28501",0.00600141779383397,0.00942086680676967,0.00544121795413374,0.00665567700107201,0.00457313507062173,0.0108491287418352,0.0202786230156084
"Lhx9",0.000334061953896382,0.00055541816565396,0,0.000366518401140811,0.000206062142160211,0,0
"2310009B15Rik",0.404806481816847,0.450729324259668,0.392097570636874,0.431513800137689,0.387285686346521,0.447345040860534,0.383023478805217
"Dennd1b",1.34827522705772,1.69616433192736,1.20380267231334,1.26039862498798,1.06238812432192,1.31217218179111,1.92985360380228
"4930596I21Rik",0.000522262419868397,0.000543562427094406,0.000248183534661383,9.34677047489053e-05,0.000263758987587502,0.000829529594505196,0
"Crb1",0.000452633963360663,0.000546648283871226,5.71601449837354e-05,6.36264307985672e-05,0,0,0
"4933436E23Rik",0,0.000239821293340277,4.94608921035567e-05,4.48037275267583e-05,0,0.000597179497346851,0
"Zbtb41",0.173749838490608,0.185393320081882,0.185161966562249,0.195610801759842,0.191358435060588,0.201008187005809,0.22512505125702
"Aspm",1.28197174207474,0.137685028719711,0.297541316325244,0.457619329004214,0.633245078595589,0.0916393611935435,0.0382662388253952
"F13b",0.000216629058275972,0,5.36728088397828e-05,0,0,0,0
"Cfhr1",0.000368359896560555,0,0.000529513119473042,0.000143538452435778,0,0,0
"Cfhr2",0,0,5.27014333103415e-05,0,0.000235657029472446,0,0
"Kcnt2",8.72372108936666e-05,5.13735436114121e-05,0.000126358117492963,8.78915610794581e-05,0.000204535994755697,0,0
"4930590L20Rik",3.39080631356607e-05,0.000249495573084843,0,0,0,0,0
"Cdc73",0.757536133630026,0.850751131660967,0.761827807150821,0.820361653332527,0.751096340534135,0.782643466915328,0.892621024868517
"B3galt2",0.00265522592247325,0.00368295040490928,0.00213559687403915,0.00281798975441124,0.00332252336700273,0.00371193676870199,0.0022585815048291
"Glrx2",0.577074930619171,0.572531064035894,0.615170399951839,0.576206271891093,0.537877256441799,0.563539055195783,0.523633611264388
"Ro60",0.0325022450891969,0.0538264624767581,0.0457903647275962,0.0451754240529181,0.0394511373924638,0.0556860217495336,0.0876216019011466
"Uchl5",1.56191072453087,1.12536073852259,1.96184310645457,1.61077221977738,1.44016106008373,1.04175757382655,0.819249619553058
"Gm29170",0.0470112041115181,0.0428331492452993,0.0602174599893749,0.0552673982127536,0.0454482105652109,0.0353485713108898,0.0406587290945804
"Rgs2",0.00614776389407136,0.00827430381106674,0.00738217289573261,0.00972748027817827,0.00631171127888801,0.0084775996404553,0.0228911177068299
"Rgs13",2.58578035424932e-05,0,0,0,0.000579770642733735,0,0
"Rgs1",0.266653569323637,0.425631368698874,0.21296295522746,0.176417202641953,0.165125709915803,0.209342618775455,0.375882664332574
"Rgs18",0.0237015514938116,0.0572627746803436,0.0319388589420777,0.0344805232506502,0.00940887625973338,0.0131683610659707,0.025591716048078
"Brinp3",0.000390814716775513,0.00295536782421982,0.00056921760418132,0.000313491757283911,0.000744390457616087,0.00111438750652896,0
"Pla2g4a",0.000842850373730854,0.00172116682375338,0.00359982562383421,0.00223989912207168,0.00297454135588325,0.00447306016570018,0.00146223842382396
"Ptgs2",0,6.56163845687061e-05,0,0,0,0,0
"2310030A07Rik",0.000650915217534929,0.000361734738224645,0.000573747125359079,0.000478678173918207,0.000715692720552816,0.000483447086015437,0
"Odr4",0.424241916700004,0.497348825353735,0.462459768442094,0.467910346654665,0.490004715925356,0.599694471291913,0.484923889822573
"Tpr",5.40698687090779,5.17175066529285,6.12389940953752,6.06196404153171,6.22693123634513,5.79702810595606,5.52436678576299
"Prg4",0.000229135912246437,0.000866318188052838,0.000496692352523646,0.000816014964468268,0.000415845603852592,0,0
"Hmcn1",0.000564651439909654,0.000508665831115567,0.000583936066082505,0.000480065723905606,0.0016814684935922,0.00254306083438781,0.0026481247675016
"Gm20631",0,0.000187758223885309,0,0,0,0,0
"Gm10138",0.0260061761350936,0.0310232712621953,0.0330314646242076,0.031049778718643,0.024155141263453,0.0259098461711808,0.0267872743700527
"Ivns1abp",0.882948636558892,0.780012576094079,1.1142617068516,1.13845584261127,0.912065398565051,0.850951920463119,0.787628053902546
"Swt1",0.413064487596377,0.45083623875155,0.433997533032975,0.422551482773992,0.409540952472319,0.449033839223796,0.585249286486262
"Trmt1l",0.364849441724818,0.468708301995721,0.347884988925377,0.387112982909194,0.351136946556554,0.467043769408213,0.724774530627619
"Rnf2",0.212315633816904,0.188932763186991,0.192179338191493,0.226674343476471,0.188007082046855,0.161739312975607,0.237837342369836
"Niban1",0.177260449997075,0.326732820504912,0.162693124161338,0.200716191790631,1.13902926063799,1.51788704780365,0.315767235686125
"2810414N06Rik",0.00376668927936525,0.00655659820605764,0.00437841571786313,0.00449731883183521,0.00420300527068531,0.00855920622147858,0.0101256783997125
"Edem3",0.165518726528976,0.204165484975084,0.161168222042183,0.17327766701054,0.176774373932446,0.18266954781333,0.25455336579229
"1700025G04Rik",1.34083802455521,1.17015417702561,1.58368144972294,1.45298724345355,1.15955773171608,1.01127093746467,2.01322791100448
"Gm28610",0.000223658075287566,0.000251951864446155,0.000108747788732729,0.000314340315198464,0.000415993277548635,0,0
"Gm36920",0.0233034216875622,0.0341916238047995,0.0175577368027334,0.0230805027506977,0.0186518859498833,0.0293274853001052,0.0263525742327008
