state,miRNA,gene,n_clusters,coverage,regions
Tn,mmu-miR-706,Fam107b,1,3.8065087620414,intron
Tn,mmu-miR-142a-3p,Camk1d,1,5.99411764705882,intron
Tn,mmu-miR-150-5p,Camk1d,1,8.8089785706687,intron
Tn,mmu-miR-466i-5p,Camk1d,3,19.5635242894522,intron
Tn,mmu-miR-466i-5p,Prkcq,4,28.6309980881899,intron
Tn,mmu-miR-466i-5p,Arl5b,1,5.72933112638995,3' UTR
Tn,mmu-miR-466i-5p,Pip4k2a,1,5.83149210903874,intron
Tn,mmu-miR-466i-5p,Apbb1ip,1,3,intron
Tn,mmu-let-7g-5p,Apbb1ip,1,14.9522024978,ncRNA_exon
Tn,mmu-miR-466i-5p,Psd4,1,6.7787566839291,intron
Tn,mmu-miR-25-3p,Rpl7a,2,142.967575055044,ncRNA_exon
Tn,mmu-miR-26b-5p,Rpl7a,1,16.1864904886701,ncRNA_exon
Tn,mmu-miR-92a-3p,Rpl7a,2,18.8783723775402,ncRNA_exon
Tn,mmu-miR-466i-5p,Cacfd1,4,61.1651031365386,3' UTR
Tn,mmu-miR-466i-5p,Fnbp1,7,67.047569729389,"3' UTR,intron"
Tn,mmu-miR-191-5p,Fam78a,1,51.5012960788042,3' UTR
Tn,mmu-let-7a-5p,Fam78a,2,66.0794218881178,3' UTR
Tn,mmu-miR-466i-5p,Fam78a,1,9.53044049431036,intron
Tn,mmu-miR-466i-5p,Arhgap15,6,31.4736937314762,intron
Tn,mmu-miR-26a-5p,Arhgap15,1,8.89204994603274,intron
Tn,mmu-miR-142a-3p,Arhgap15,1,4.5,intron
Tn,mmu-miR-466i-5p,Dapl1,1,5.07444281825604,intron
Tn,mmu-let-7g-5p,Marchf7,1,53.1818348437649,CDS
Tn,mmu-miR-466i-5p,Itga4,1,4.44638888888889,intron
Tn,mmu-miR-142a-3p,Itga4,1,16.6146955383267,3' UTR
Tn,mmu-miR-466i-5p,Madd,2,27.9752760800376,3' UTR
