state,gene,n_miRNAs,total_clusters,total_cov
Tn,Dapl1,1,1,5.07444281825604
Tn,Arap2,1,1,5.05641247641113
Tn,Slco3a1,1,1,4.98484848484848
Tn,Ppp1r12a,1,1,4.92207792207792
Tn,Xrn2,1,1,4.90098292606516
Tn,Ttc13,1,1,4.86952517655572
Tn,Ikbke,1,1,4.86835497835498
Tn,Rasa3,1,1,4.86088864011135
Tn,Stx16,1,1,4.85544217687075
Tn,Slc25a51,1,1,4.83267978352596
Tn,Cd2,1,1,4.8242781965581
Tn,Orai2,1,1,4.82003043941728
Tn,Tcf12,1,1,4.78915966386555
Tn,Spg11,1,1,4.74847546254408
Tn,Tnfrsf26,1,1,4.74672401786537
Tn,Tdrp,1,1,4.59414250217903
Tn,Vav1,1,1,4.52314953015293
Tn,Nfyc,1,1,4.5
Tn,Ttc28,1,1,4.5
Tn,Aak1,1,1,4.5
Tn,Tcf20,1,1,4.49411764705882
Tn,Btbd11,1,1,4.48837209302326
Tn,Ccnd2,1,1,4.47981986802212
Tn,1810013L24Rik,1,1,4.47407097425685
Tn,Mgat5,1,1,4.45888783636
Tn,Fyco1,1,1,4.44318181818182
Tn,Mfng,1,1,4.43301971326165
Tn,Lrch3,1,1,4.43283582089552
Tn,Ubp1,1,1,4.40456081660662
Tn,Rnf169,1,1,4.39444085326438
Tn,Sin3a,1,1,4.39441224833322
Tn,Ubash3b,1,1,4.38666666666667
Tn,Ago2,1,1,4.3646645021645
Tn,Kcnab2,1,1,4.36461754771294
Tn,Ncoa2,1,1,4.33746371275783
Tn,Taok3,1,1,4.33132183908046
Tn,Nsd3,1,1,4.32656922418426
Tn,Sipa1l1,1,1,4.30273876404494
Tn,Phf14,1,1,4.30048923679061
Tn,Stat3,1,1,4.27148101996565
Tn,Ifi213,1,1,4.26882716049383
Tn,Ube2h,1,1,4.23579575625381
Tn,Ndufa5,1,1,4.20094683064794
Tn,Ptk2b,1,1,4.16533494753834
Tn,Septin2,1,1,4.16431556948798
Tn,Septin6,1,1,4.15878489326765
Tn,Kcnc1,1,1,4.11863935857744
Tn,Sp100,1,1,4.07987421383648
Tn,Ankrd44,1,1,4
Tn,Pacsin1,1,1,4
Tn,Snx5,1,1,4
Tn,Ankrd10,1,1,4
Tn,St8sia1,1,1,3.9951990666903
Tn,Casp8,1,1,3.95685942655592
Tn,Ubac2,1,1,3.94759205931432
Tn,Zc3h12d,1,1,3.93202764976959
Tn,Nfatc3,1,1,3.88906636884664
Tn,Cdyl,1,1,3.86525974025974
Tn,Pde3b,1,1,3.86522014570795
Tn,Aopep,1,1,3.85499859945846
Tn,Lrch1,1,1,3.85383129245617
Tn,Snrk,1,1,3.82583119380872
Tn,Nsd1,1,1,3.82114030286444
Tn,Mdm4,1,1,3.76169748849229
Tn,Cblb,1,1,3.74831754108459
Tn,Inpp5b,1,1,3.71556941320793
Tn,Hbs1l,1,1,3.69979147888556
Tn,Coa5,1,1,3.57465578395642
Tn,Sh3pxd2a,1,1,3.55913817195463
Tn,Eef1a1,1,1,3.50482800650054
Tn,Wwox,1,1,3.49954556721474
Tn,Ubn2,1,1,3.48216899322339
Tn,Mllt6,1,1,3.45061728395062
Tn,Shld1,1,1,3.44910822640266
Tn,Cxxc5,1,1,3.43273460410557
Tn,Hs6st1,1,1,3.42307692307692
Tn,Vps52,1,1,3.41914340448823
Tn,Rgs3,1,1,3.40441176470588
Tn,Pik3cd,1,1,3.3406779661017
Tn,Gphn,1,1,3.31367874201914
Tn,Smad7,1,1,3.24390243902439
Tn,Hivep1,1,1,3
Teff,Actb,5,5,29.6030453413457
Teff,Rpl13a,4,6,116.910323654662
Teff,Gimap4,4,4,40.6351495388725
Teff,Rps8,4,5,39.0787439668671
Teff,Lars2,4,4,31.9834946346836
Teff,mt-Nd1,3,6,325.134462741331
Teff,Rpl7a,3,6,216.902255990238
Teff,Akna,3,6,96.410063786326
Teff,Pim1,3,4,68.5349633060354
Teff,mt-Nd4,3,3,45.5280396814992
Teff,Evl,3,4,27.7689552349437
Teff,Xiap,3,3,17.6238330325101
Teff,mt-Co1,3,3,15.8349881157373
Teff,Hexb,3,3,15.4167132452575
Teff,Cmip,3,3,13.2435149416244
Teff,Ptprc,3,3,12.2058702999582
Teff,Taf1d,2,2,3281.74448076623
Teff,Rps12,2,6,283.101497339934
Teff,Zbtb20,2,7,106.009286102315
Teff,Kpna4,2,4,55.2298320379403
Teff,Ppan,2,5,48.4820444103104
Teff,Plcl2,2,5,40.8436605510808
Teff,mt-Nd5,2,2,36.274030503657
Teff,Fam78a,2,2,33.8637514988841
Teff,Cotl1,2,5,24.2251725553268
Teff,Rpl17,2,2,22.7488110374271
Teff,Vmp1,2,3,20.128346670301
Teff,Camk1d,2,2,20.0047114621067
Teff,Maml2,2,4,19.3699631073282
Teff,Pdcd4,2,3,18.9282749226366
Teff,Hspa8,2,2,18.9024486028285
Teff,Cdkn1b,2,2,18.6684296617893
Teff,Nop56,2,2,17.5587256136362
Teff,Atxn1,2,4,16.8812466220905
Teff,Rac2,2,2,16.3492722248298
Teff,Ccdc71l,2,2,14.9609059794188
Teff,Paip1,2,2,12.7377455591342
Teff,Ppm1h,2,2,10.3005060183487
Teff,Txnip,2,2,10.0219743069642
Teff,Mcm7,2,2,9.5
Teff,Nfatc3,2,2,9.21106657490521
Teff,Card11,2,2,8.19594232059021
Teff,Cdk6,2,2,7.25152759112667
Teff,mt-Nd2,1,1,830.941184677306
Teff,Cep295,1,2,137.360466072452
Teff,Grap2,1,2,56.6039327742831
Teff,Sertad3,1,2,51.9976168856257
Teff,Lnpep,1,2,47.8374984869296
Teff,Gnas,1,1,39.5713009860648
Teff,Cd69,1,1,38.2205742058738
Teff,Tbl1xr1,1,3,36.006429422978
Teff,Ncl,1,1,31.4681091250701
Teff,Bcl2,1,4,29.5371733345199
Teff,Srsf5,1,2,29.3022398665052
Teff,Ltb,1,1,29.1668245901796
Teff,Il21r,1,2,28.6639162383186
Teff,Itpk1,1,2,26.4520654132655
Teff,Fam160b2,1,2,25.8022833090844
Teff,Inpp4b,1,3,24.5861372757361
Teff,Fnbp1,1,2,22.5237791974166
Teff,H2bc4,1,2,22.3231515773514
Teff,Ndufa4,1,1,18.0437650631098
Teff,Nufip2,1,2,17.9990445435335
Teff,Dusp2,1,2,17.489247311828
Teff,Dync1i2,1,2,17.3421052631579
Teff,Rab8b,1,2,17.3223138052327
Teff,Sh3bgrl3,1,1,16.1440478577902
Teff,Ablim1,1,2,16.1122177599739
Teff,mt-Cytb,1,2,14.560627539528
Teff,Rps27l,1,1,14.474699021165
Teff,Larp1,1,1,14.3624464032282
Teff,Madd,1,2,14.2192275915647
Teff,Pon2,1,2,13.8144242602545
Teff,Tmem164,1,2,13.4428927553928
Teff,Fus,1,1,13.4321297280539
Teff,Dnajc3,1,2,13.2372564323711
Teff,Marchf7,1,1,13.1384229335752
Teff,Znrf2,1,1,12.9243499516755
Teff,Rictor,1,1,12.2524499233276
Teff,Eif2ak1,1,1,11.7822113679417
Teff,Cdc7,1,1,11
Teff,Prr5,1,2,10.73608214163
Teff,Il7r,1,1,10.6286297281801
Teff,Myo1c,1,1,10.3270537406903
Teff,Laptm5,1,2,10.2634238121894
Teff,Runx3,1,1,10.1988782785393
Teff,Rnasel,1,1,10.1265115081263
Teff,Msl1,1,2,10.0241339966965
Teff,Lrwd1,1,1,9.92820069414366
Teff,Ms4a4b,1,2,9.90714561588128
Teff,Exosc8,1,1,9.84827586206897
Teff,Dcaf12,1,2,9.16148871633157
Teff,Pclaf,1,1,9.12004183137639
Teff,Gigyf1,1,1,8.98390600778637
Teff,Emc10,1,1,8.97843081440247
Teff,Arf3,1,1,8.69333105340143
Teff,Spag7,1,1,8.37748018780246
Teff,Ethe1,1,1,8.34124487004104
Teff,Bach2,1,1,8.27876830545354
Teff,Ccnt1,1,1,8
Teff,Elf4,1,1,7.84848127797726
Teff,Snrnp200,1,1,7.7741669318339
Teff,Cisd1,1,1,7.54149200505456
Teff,Casp8,1,1,7.38842746400886
Teff,Cacfd1,1,1,7.34152036018502
Teff,Klf13,1,1,7.20225519245359
Teff,Ndufa5,1,1,7.08664880788075
Teff,Frrs1,1,1,7.02967171717172
Teff,Wdr17,1,1,6.97368421052632
Teff,Itgb3,1,1,6.85472723944651
Teff,Prkcq,1,1,6.83125152540009
Teff,Rraga,1,1,6.76818039453862
Teff,Pop4,1,1,6.68729942587389
Teff,Aopep,1,1,6.5
Teff,Rpl14,1,1,6.42857142857143
Teff,Sae1,1,1,6.28582887700535
Teff,Spata13,1,1,6.27214582618636
Teff,Polr3c,1,1,6.0568676817944
Teff,Naaladl2,1,1,6.03196203854676
Teff,Nsrp1,1,1,6
Teff,Dusp5,1,1,6
Teff,Ikzf1,1,1,5.99438202247191
Teff,Sigmar1,1,1,5.98255813953488
Teff,Bcl11b,1,1,5.91216216216216
Teff,Nop58,1,1,5.91119001046777
Teff,Nxf1,1,1,5.8659229208925
Teff,Trim25,1,1,5.75948599047191
Teff,Znfx1,1,1,5.73352523912869
Teff,Ets1,1,1,5.67692307692308
Teff,Pfn1,1,1,5.60032009998968
Teff,Pcmtd1,1,1,5.53389402162192
Teff,Mbnl1,1,1,5.41809908998989
Teff,Arl4c,1,1,5.37190197716514
Teff,Reep4,1,1,5.34003717727328
Teff,Mtpn,1,1,5.24652777777778
Teff,Pitpnc1,1,1,5.21561706675987
Teff,Aldoa,1,1,5.20506407892311
Teff,Pglyrp2,1,1,5.15750528541226
Teff,Spcs2,1,1,5.13924502236146
Teff,Gid4,1,1,5.12408441408751
Teff,E2f8,1,1,5.02950375797017
Teff,Lrch3,1,1,5
Teff,Zfp36,1,1,4.97159090909091
Teff,Gpr132,1,1,4.9318050370682
Teff,Dicer1,1,1,4.88953488372093
Teff,Nelfa,1,1,4.86778536101382
Teff,Suox,1,1,4.8554600886918
Teff,Ccr7,1,1,4.84229989322414
Teff,Ripor2,1,1,4.79148451730419
Teff,Stim1,1,1,4.77027186480934
Teff,Ascc3,1,1,4.61579153605016
Teff,Atxn7l1,1,1,4.57575757575758
Teff,Hnrnpk,1,1,4.5505065006594
Teff,Ska2,1,1,4.5
Teff,Apobec3,1,1,4.5
Teff,Atp6v0e,1,1,4.4438202247191
Teff,Mindy2,1,1,4.43924731182796
Teff,Dip2b,1,1,4.41333333333333
Teff,Pkn2,1,1,4.39750957854406
Teff,Shisa5,1,1,4.38947615691802
Teff,Nedd9,1,1,4.38064923582165
Teff,Mmp16,1,1,4.37640754307421
Teff,Strn,1,1,4.37048665620094
Teff,Nfyc,1,1,4.36734693877551
Teff,Ikzf2,1,1,4.36440677966102
Teff,Asap1,1,1,4.35042735042735
Teff,Pabpc1,1,1,4.34844877344877
Teff,Wdr1,1,1,4.3448275862069
Teff,Ccnd3,1,1,4.33401979833441
Teff,Gxylt1,1,1,4.32558139534884
Teff,Bckdhb,1,1,4.3160147061015
Teff,Lrrc32,1,1,4.31034482758621
Teff,Zbtb7a,1,1,4.30100937274694
Teff,Elf2,1,1,4.29723468704871
Teff,Adnp,1,1,4.29013007521452
Teff,Cmss1,1,1,4.197139598232
Teff,Klhl21,1,1,4.17582417582418
Teff,Samd9l,1,1,4.04676311123235
Teff,Elmo1,1,1,3.99921592096003
Teff,Smco4,1,1,3.98823529411765
Teff,Cracr2a,1,1,3.90878169449598
Teff,Mcl1,1,1,3.90176423416199
Teff,Hipk1,1,1,3.88827098078868
Teff,Ly6e,1,1,3.8672814755413
Teff,Mlxip,1,1,3.86480600035066
Teff,Galnt6,1,1,3.82439007217039
Teff,Bin2,1,1,3.80710074339913
Teff,Tshr,1,1,3.76021455766101
Teff,Clta,1,1,3.75862068965517
Teff,Il17ra,1,1,3.72795394836833
Teff,Tedc1,1,1,3.55092592592593
Teff,Tnks2,1,1,3.5
Teff,Col24a1,1,1,3.5
Teff,Vgll4,1,1,3.5
Teff,Ssbp2,1,1,3.48663349175663
