"human","mouse","support_n","method","set_name","in_object"
"LEPR","Lepr",12,"babelgene","Fraietta2018_NR",TRUE
"LIFR","Lifr",12,"babelgene","Fraietta2018_NR",TRUE
"LIG1","Lig1",12,"babelgene","Fraietta2018_NR",TRUE
"LIMA1","Lima1",10,"babelgene","Fraietta2018_NR",TRUE
"LIN52","Lin52",11,"babelgene","Fraietta2018_NR",TRUE
"LIN7A","Lin7a",12,"babelgene","Fraietta2018_NR",FALSE
"LMCD1","Lmcd1",12,"babelgene","Fraietta2018_NR",FALSE
"LMNA","Lmna",12,"babelgene","Fraietta2018_NR",TRUE
"LRP11","Lrp11",12,"babelgene","Fraietta2018_NR",TRUE
"LRRC40","Lrrc40",12,"babelgene","Fraietta2018_NR",TRUE
"LRRFIP2","Lrrfip2",10,"babelgene","Fraietta2018_NR",TRUE
"LSS","Lss",12,"babelgene","Fraietta2018_NR",TRUE
"LTA","Lta",11,"babelgene","Fraietta2018_NR",TRUE
"LTBR","Ltbr",12,"babelgene","Fraietta2018_NR",TRUE
"MAGI1","Magi1",12,"babelgene","Fraietta2018_NR",TRUE
"MAP7D2","Map7d2",12,"babelgene","Fraietta2018_NR",TRUE
"MARCKS","Marcks",8,"babelgene","Fraietta2018_NR",TRUE
"MARVELD1","Marveld1",12,"babelgene","Fraietta2018_NR",TRUE
"MAST1","Mast1",12,"babelgene","Fraietta2018_NR",TRUE
"MAST2","Mast2",12,"babelgene","Fraietta2018_NR",TRUE
"MCAM","Mcam",12,"babelgene","Fraietta2018_NR",TRUE
"MCM10","Mcm10",11,"babelgene","Fraietta2018_NR",TRUE
"MCM2","Mcm2",12,"babelgene","Fraietta2018_NR",TRUE
"MCM6","Mcm6",12,"babelgene","Fraietta2018_NR",TRUE
"MDK","Mdk",12,"babelgene","Fraietta2018_NR",TRUE
"MEIS3","Meis3",9,"babelgene","Fraietta2018_NR",TRUE
"MELK","Melk",11,"babelgene","Fraietta2018_NR",TRUE
"MEST","Mest",12,"babelgene","Fraietta2018_NR",TRUE
"METTL13","Eef1aknmt",12,"babelgene","Fraietta2018_NR",FALSE
"MFAP1","Mfap1a",10,"babelgene","Fraietta2018_NR",TRUE
"MGST1","Mgst1",11,"babelgene","Fraietta2018_NR",FALSE
"MICAL2","Mical2",9,"babelgene","Fraietta2018_NR",TRUE
"MIS18A","Mis18a",11,"babelgene","Fraietta2018_NR",TRUE
"MLH1","Mlh1",11,"babelgene","Fraietta2018_NR",TRUE
"MMP12","Mmp12",11,"babelgene","Fraietta2018_NR",TRUE
"MMP2","Mmp2",12,"babelgene","Fraietta2018_NR",FALSE
"MOB1B","Mob1b",12,"babelgene","Fraietta2018_NR",TRUE
"MPZL1","Mpzl1",12,"babelgene","Fraietta2018_NR",TRUE
"MS4A1","Ms4a1",12,"babelgene","Fraietta2018_NR",TRUE
"MSMO1","Msmo1",12,"babelgene","Fraietta2018_NR",TRUE
"MTHFD1","Mthfd1",10,"babelgene","Fraietta2018_NR",TRUE
"MTHFD2","Mthfd2",12,"babelgene","Fraietta2018_NR",TRUE
"MVK","Mvk",12,"babelgene","Fraietta2018_NR",TRUE
"MYB","Myb",11,"babelgene","Fraietta2018_NR",TRUE
"MYH6","Myh6",12,"babelgene","Fraietta2018_NR",TRUE
"MYO1E","Myo1e",11,"babelgene","Fraietta2018_NR",TRUE
"MYOF","Myof",11,"babelgene","Fraietta2018_NR",TRUE
"MZT1","Mzt1",12,"babelgene","Fraietta2018_NR",TRUE
"NAB2","Nab2",11,"babelgene","Fraietta2018_NR",TRUE
"NAMPT","Nampt",12,"babelgene","Fraietta2018_NR",TRUE
"NCDN","Ncdn",12,"babelgene","Fraietta2018_NR",TRUE
"NCF1","Ncf1",10,"babelgene","Fraietta2018_NR",TRUE
"NCKAP1","Nckap1",12,"babelgene","Fraietta2018_NR",TRUE
"NCS1","Ncs1",12,"babelgene","Fraietta2018_NR",TRUE
"NDFIP2","Ndfip2",11,"babelgene","Fraietta2018_NR",TRUE
"NEBL","Nebl",8,"babelgene","Fraietta2018_NR",TRUE
"NEK6","Nek6",11,"babelgene","Fraietta2018_NR",TRUE
"NET1","Net1",12,"babelgene","Fraietta2018_NR",TRUE
"NEURL3","Neurl3",11,"babelgene","Fraietta2018_NR",TRUE
"NFKB2","Nfkb2",12,"babelgene","Fraietta2018_NR",TRUE
"NID1","Nid1",11,"babelgene","Fraietta2018_NR",TRUE
"NINJ1","Ninj1",12,"babelgene","Fraietta2018_NR",TRUE
"NINL","Ninl",12,"babelgene","Fraietta2018_NR",TRUE
"NKD2","Nkd2",11,"babelgene","Fraietta2018_NR",TRUE
"NMB","Nmb",11,"babelgene","Fraietta2018_NR",TRUE
"NOL3","Nol3",8,"babelgene","Fraietta2018_NR",TRUE
"NPM3","Npm3",12,"babelgene","Fraietta2018_NR",TRUE
"NPR3","Npr3",11,"babelgene","Fraietta2018_NR",TRUE
"NR3C1","Nr3c1",11,"babelgene","Fraietta2018_NR",TRUE
"NR4A3","Nr4a3",12,"babelgene","Fraietta2018_NR",TRUE
"NR5A2","Nr5a2",12,"babelgene","Fraietta2018_NR",TRUE
"NRP2","Nrp2",11,"babelgene","Fraietta2018_NR",TRUE
"NSDHL","Nsdhl",12,"babelgene","Fraietta2018_NR",TRUE
"NTRK2","Ntrk2",11,"babelgene","Fraietta2018_NR",TRUE
"NUP37","Nup37",11,"babelgene","Fraietta2018_NR",TRUE
"NUP98","Nup98",12,"babelgene","Fraietta2018_NR",TRUE
"OASL","Oasl1",11,"babelgene","Fraietta2018_NR",TRUE
"OPLAH","Oplah",11,"babelgene","Fraietta2018_NR",TRUE
"ORC1","Orc1",11,"babelgene","Fraietta2018_NR",TRUE
"ORC3","Orc3",12,"babelgene","Fraietta2018_NR",TRUE
"ORC6","Orc6",12,"babelgene","Fraietta2018_NR",TRUE
