"coarse_annot","condition","replicate","set","mean_score","n_cells"
"Effector 2","Scr","rep1","Module3B Mitophagy Damage",0.0816510229822923,136
"Effector 2","Scr","rep1","Module3 MitoQualityControl",0.144419218164893,136
"Effector 2","Scr","rep1","Module4 Activation Anabolic",0.331013002084473,136
"Effector 2","Scr","rep2","GO: AUTOPHAGY",0.0954981074948194,48
"Effector 2","Scr","rep2","GO: MITOCHONDRIAL BIOGENESIS",0.123147090995494,48
"Effector 2","Scr","rep2","GO: MITOPHAGY",0.126701537399769,48
"Effector 2","Scr","rep2","GO: RIBOSOME BIOGENESIS",0.275103983038212,48
"Effector 2","Scr","rep2","H: APOPTOSIS",0.102239522282278,48
"Effector 2","Scr","rep2","H: FATTY ACID METABOLISM",0.105101171154443,48
"Effector 2","Scr","rep2","H: GLYCOLYSIS",0.106391073308765,48
"Effector 2","Scr","rep2","H: HYPOXIA",0.100723079538475,48
"Effector 2","Scr","rep2","H: IL2 STAT5 SIGNALING",0.112322467601164,48
"Effector 2","Scr","rep2","H: MTORC1 SIGNALING",0.248193766554274,48
"Effector 2","Scr","rep2","H: MYC TARGETS V1",0.498142187954383,48
"Effector 2","Scr","rep2","H: MYC TARGETS V2",0.238308148640727,48
"Effector 2","Scr","rep2","H: OXIDATIVE PHOSPHORYLATION",0.314384256810368,48
"Effector 2","Scr","rep2","H: REACTIVE OXYGEN SPECIES PATHWAY",0.15283512085548,48
"Effector 2","Scr","rep2","H: TNFA SIGNALING VIA NFKB",0.0652972097328749,48
"Effector 2","Scr","rep2","H: UNFOLDED PROTEIN RESPONSE",0.215081045034213,48
"Effector 2","Scr","rep2","Module1 MetabolicStress Hypoxia",0.12869256303929,48
"Effector 2","Scr","rep2","Module2 MetabolicResilience OxFitness",0.0389598146951088,48
"Effector 2","Scr","rep2","Module3A MitoOrganization",0.171366610058281,48
"Effector 2","Scr","rep2","Module3B Mitophagy Damage",0.0975018564930846,48
"Effector 2","Scr","rep2","Module3 MitoQualityControl",0.146542342008028,48
"Effector 2","Scr","rep2","Module4 Activation Anabolic",0.315554316411159,48
"Effector 2","miR29a","rep1","GO: AUTOPHAGY",0.097086195072362,123
"Effector 2","miR29a","rep1","GO: MITOCHONDRIAL BIOGENESIS",0.115065587736749,123
"Effector 2","miR29a","rep1","GO: MITOPHAGY",0.124777600515265,123
"Effector 2","miR29a","rep1","GO: RIBOSOME BIOGENESIS",0.269490230119498,123
"Effector 2","miR29a","rep1","H: APOPTOSIS",0.0954854382810564,123
"Effector 2","miR29a","rep1","H: FATTY ACID METABOLISM",0.0984410467950407,123
"Effector 2","miR29a","rep1","H: GLYCOLYSIS",0.103395437823818,123
"Effector 2","miR29a","rep1","H: HYPOXIA",0.101162276337162,123
"Effector 2","miR29a","rep1","H: IL2 STAT5 SIGNALING",0.107781085573352,123
"Effector 2","miR29a","rep1","H: MTORC1 SIGNALING",0.23960138684172,123
"Effector 2","miR29a","rep1","H: MYC TARGETS V1",0.483377518534642,123
"Effector 2","miR29a","rep1","H: MYC TARGETS V2",0.214438799315414,123
"Effector 2","miR29a","rep1","H: OXIDATIVE PHOSPHORYLATION",0.281035214583831,123
"Effector 2","miR29a","rep1","H: REACTIVE OXYGEN SPECIES PATHWAY",0.139944674566968,123
"Effector 2","miR29a","rep1","H: TNFA SIGNALING VIA NFKB",0.0621687921851448,123
"Effector 2","miR29a","rep1","H: UNFOLDED PROTEIN RESPONSE",0.214186923180861,123
"Effector 2","miR29a","rep1","Module1 MetabolicStress Hypoxia",0.129352576637101,123
"Effector 2","miR29a","rep1","Module2 MetabolicResilience OxFitness",0.028429299591423,123
"Effector 2","miR29a","rep1","Module3A MitoOrganization",0.178188230413702,123
"Effector 2","miR29a","rep1","Module3B Mitophagy Damage",0.0808679331571929,123
"Effector 2","miR29a","rep1","Module3 MitoQualityControl",0.143026483055177,123
"Effector 2","miR29a","rep1","Module4 Activation Anabolic",0.306900863680665,123
"Effector 2","miR29a","rep2","GO: AUTOPHAGY",0.0924971220988344,30
"Effector 2","miR29a","rep2","GO: MITOCHONDRIAL BIOGENESIS",0.121474804779968,30
"Effector 2","miR29a","rep2","GO: MITOPHAGY",0.120085088221139,30
"Effector 2","miR29a","rep2","GO: RIBOSOME BIOGENESIS",0.284629527309297,30
"Effector 2","miR29a","rep2","H: APOPTOSIS",0.0937072371277242,30
"Effector 2","miR29a","rep2","H: FATTY ACID METABOLISM",0.104260541937309,30
"Effector 2","miR29a","rep2","H: GLYCOLYSIS",0.109583969465649,30
"Effector 2","miR29a","rep2","H: HYPOXIA",0.0998886549091866,30
"Effector 2","miR29a","rep2","H: IL2 STAT5 SIGNALING",0.0987743101472274,30
"Effector 2","miR29a","rep2","H: MTORC1 SIGNALING",0.250597722289029,30
"Effector 2","miR29a","rep2","H: MYC TARGETS V1",0.516053399842983,30
"Effector 2","miR29a","rep2","H: MYC TARGETS V2",0.256040388838821,30
"Effector 2","miR29a","rep2","H: OXIDATIVE PHOSPHORYLATION",0.314243321872521,30
"Effector 2","miR29a","rep2","H: REACTIVE OXYGEN SPECIES PATHWAY",0.147764454849686,30
"Effector 2","miR29a","rep2","H: TNFA SIGNALING VIA NFKB",0.0581612007405448,30
"Effector 2","miR29a","rep2","H: UNFOLDED PROTEIN RESPONSE",0.219435474443468,30
"Effector 2","miR29a","rep2","Module1 MetabolicStress Hypoxia",0.131275027226271,30
"Effector 2","miR29a","rep2","Module2 MetabolicResilience OxFitness",0.0309184642517976,30
"Effector 2","miR29a","rep2","Module3A MitoOrganization",0.171806450782868,30
"Effector 2","miR29a","rep2","Module3B Mitophagy Damage",0.112524830595006,30
"Effector 2","miR29a","rep2","Module3 MitoQualityControl",0.152570486884212,30
"Effector 2","miR29a","rep2","Module4 Activation Anabolic",0.331254083940689,30
"Stem-like","EV","rep1","GO: AUTOPHAGY",0.0984415348674918,60
"Stem-like","EV","rep1","GO: MITOCHONDRIAL BIOGENESIS",0.100939813039491,60
"Stem-like","EV","rep1","GO: MITOPHAGY",0.112614896341297,60
"Stem-like","EV","rep1","GO: RIBOSOME BIOGENESIS",0.21219769457673,60
"Stem-like","EV","rep1","H: APOPTOSIS",0.109729068984979,60
"Stem-like","EV","rep1","H: FATTY ACID METABOLISM",0.0773380537604817,60
"Stem-like","EV","rep1","H: GLYCOLYSIS",0.0763329384925858,60
"Stem-like","EV","rep1","H: HYPOXIA",0.0856666666666667,60
"Stem-like","EV","rep1","H: IL2 STAT5 SIGNALING",0.0967856387199154,60
"Stem-like","EV","rep1","H: MTORC1 SIGNALING",0.159266027244854,60
"Stem-like","EV","rep1","H: MYC TARGETS V1",0.346459426581329,60
"Stem-like","EV","rep1","H: MYC TARGETS V2",0.117400697646609,60
"Stem-like","EV","rep1","H: OXIDATIVE PHOSPHORYLATION",0.22055141937759,60
"Stem-like","EV","rep1","H: REACTIVE OXYGEN SPECIES PATHWAY",0.128086947045755,60
"Stem-like","EV","rep1","H: TNFA SIGNALING VIA NFKB",0.0636201181345323,60
"Stem-like","EV","rep1","H: UNFOLDED PROTEIN RESPONSE",0.155428609166557,60
"Stem-like","EV","rep1","Module1 MetabolicStress Hypoxia",0.0989369188238251,60
"Stem-like","EV","rep1","Module2 MetabolicResilience OxFitness",0.0271215893764913,60
"Stem-like","EV","rep1","Module3A MitoOrganization",0.133087279838409,60
"Stem-like","EV","rep1","Module3B Mitophagy Damage",0.0890907825118351,60
"Stem-like","EV","rep1","Module3 MitoQualityControl",0.118805014883446,60
"Stem-like","EV","rep1","Module4 Activation Anabolic",0.217617282399263,60
"Stem-like","EV","rep2","GO: AUTOPHAGY",0.0933893498958272,43
"Stem-like","EV","rep2","GO: MITOCHONDRIAL BIOGENESIS",0.101562336139325,43
"Stem-like","EV","rep2","GO: MITOPHAGY",0.116127904125758,43
"Stem-like","EV","rep2","GO: RIBOSOME BIOGENESIS",0.217800433743029,43
"Stem-like","EV","rep2","H: APOPTOSIS",0.11404310564161,43
"Stem-like","EV","rep2","H: FATTY ACID METABOLISM",0.0796469430059564,43
"Stem-like","EV","rep2","H: GLYCOLYSIS",0.0757646443066413,43
