miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,sig
mmu-miR-27a-3p,84.8285472615749,1.29612401600372,0.675455988649729,1.91888744460574,0.0549985799256643,0.439988639405314,Tex_vs_Teff,FALSE
mmu-miR-3470b,7.71010139495621,-4.59577899657967,2.11307738827499,-2.17492223525776,0.0296359443559185,0.439988639405314,Tex_vs_Teff,FALSE
mmu-miR-677-3p,5.40452990098111,6.30970972703184,3.22719481308416,1.9551685263778,0.0505631821280574,0.439988639405314,Tex_vs_Teff,FALSE
mmu-miR-677-5p,3.85899838681171,5.44499695388038,2.79179721394492,1.95035546517592,0.0511337660391545,0.439988639405314,Tex_vs_Teff,FALSE
mmu-let-7d-3p,27.14328347852,-2.44561992021464,1.38897113762672,-1.76074207300907,0.0782820682155117,0.552579305050671,Tex_vs_Teff,FALSE
mmu-miR-320-3p,3.60995046783168,4.94188861329015,2.78801515807762,1.77254725426158,0.0763037584940735,0.552579305050671,Tex_vs_Teff,FALSE
mmu-miR-147-3p,118.425037658902,-1.17193395752799,0.699520432140532,-1.67533913761729,0.0938677106347304,0.625784737564869,Tex_vs_Teff,FALSE
mmu-miR-29c-3p,31.3182946039825,2.0296735256442,1.25679894880689,1.61495482437428,0.106320478303565,0.671497757706724,Tex_vs_Teff,FALSE
mmu-miR-1198-5p,8.41582488779326,-2.45251343378582,1.59477094554524,-1.53784682410759,0.124086071697387,0.744516430184325,Tex_vs_Teff,FALSE
mmu-miR-30b-5p,10.0756665669941,-3.33275310782538,2.23105031204967,-1.49380455018227,0.135226711908949,0.753668757962935,Tex_vs_Teff,FALSE
mmu-miR-5114,5.03991478752544,4.74190283564885,3.19830382166184,1.48263051294013,0.138172605626538,0.753668757962935,Tex_vs_Teff,FALSE
mmu-let-7c-5p,61.9786632305982,0.773913367759323,0.736279403454207,1.0511136996751,0.293206372795572,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-142a-3p,1406.19365028882,-0.390382158822524,0.400083805334365,-0.975750964216776,0.329187889960532,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-150-3p,26.7296101602463,-1.40829097154728,1.41007388496692,-0.998735588653442,0.317922795769366,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-15b-3p,6.42395214045823,-1.67610306713462,1.62144060235754,-1.03371228319903,0.301270689040271,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-191-5p,79.6662164708792,-0.547317636170311,0.583375365900307,-0.938191202718426,0.348146158541004,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-20a-3p,2.88062293163199,-3.81817604830585,3.87300958148844,-0.985842138515566,0.324210584072087,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-20b-5p,16.3594694109273,-1.93225552237248,1.47594779013341,-1.30916251597072,0.190479306449155,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-219a-5p,26.3226838906666,-1.41725166543918,1.50083297562427,-0.944310052122666,0.345011230655991,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-23a-3p,69.9800745231721,1.1411032844474,1.03907149688475,1.09819515583726,0.272119281051972,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-23b-3p,48.0544308532919,1.20526809701189,1.13985684648243,1.057385496022,0.290335688203807,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-26b-5p,253.374888099369,-0.989383708536731,0.75723059118582,-1.30658179959074,0.191354781242372,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-27b-3p,47.399952142044,0.623155381944544,0.660148674743096,0.943962179712095,0.34518897529721,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-29a-3p,323.74793201586,0.8674397972703,0.726041591530842,1.19475221170364,0.232183856443176,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-30d-5p,24.0239556068785,-1.01894876771398,0.99772275919043,-1.02127445558201,0.307124425320577,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-31-5p,9.80758460237172,1.8553708558614,1.77280185582083,1.04657542509303,0.295295441074511,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-3473b,222.35869476766,1.29747551698242,1.04118908970891,1.24614782252968,0.212710130642915,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-3535,56.4135493782611,1.31424967291031,1.22898074604536,1.06938182484903,0.284897653658222,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-362-3p,2.24475680264647,-4.33274128227357,4.16245642258604,-1.04090970388628,0.297917457610787,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-423-3p,27.0042185329758,1.30573966670134,1.22169174167072,1.06879634376154,0.285161447209727,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-449c-5p,9.53789737592742,3.08799858014041,2.45487193389551,1.25790618137877,0.208425687925795,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-5121,117.13752767961,1.03734510913554,0.997552555892887,1.0398901822341,0.298390924251694,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-706,23.691745407061,1.78169744023081,1.65615748039635,1.07580194596254,0.282015841805169,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-744-5p,16.3332807654536,-1.62283378113165,1.44135771438752,-1.12590633465423,0.260205167766693,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-98-5p,3.01423431867437,3.46326323654343,3.17776139131992,1.08984370129342,0.275781999748855,0.908207370106968,Tex_vs_Teff,FALSE
mmu-miR-19b-3p,24.3220905609905,1.11508080559897,1.20852898461228,0.922676096144036,0.356176026459822,0.909385599471886,Tex_vs_Teff,FALSE
