miRNA,state,mean_logN,mean_norm,rel_pct
mmu-miR-20b-5p,Tmem,5.20071890956872,35.9697985693967,0.216040884400984
mmu-miR-20b-5p,Tex,1.33301486057475,2.67340074773564,0.0145054671673047
mmu-miR-210-3p,Tn,0,0,0
mmu-miR-210-3p,Teff,5.02232625450886,33.3474400612115,0.172500123769553
mmu-miR-210-3p,Tmem,8.63262148345476,400.335111597498,2.4044825104991
mmu-miR-210-3p,Tex,6.40690609062885,86.3218202987216,0.468369110476848
mmu-miR-219a-5p,Tn,4.56368994369251,43.2290002954589,0.218966152744629
mmu-miR-219a-5p,Teff,4.72817685801631,26.4001479148147,0.136563069743309
mmu-miR-219a-5p,Tmem,4.76717291935979,26.304684735318,0.157990524832746
mmu-miR-219a-5p,Tex,2.15056718633383,9.35690261707473,0.0507691350855664
mmu-miR-21a-3p,Tn,0,0,0
mmu-miR-21a-3p,Teff,3.7197643332125,13.8948337507662,0.0718753984523233
mmu-miR-21a-3p,Tmem,2.38815727697505,4.27236357715633,0.0256605608705494
mmu-miR-21a-3p,Tex,2.15056718633383,9.35690261707473,0.0507691350855664
mmu-miR-21a-5p,Tn,2.11436037061407,8.87436352230554,0.0449509640578166
mmu-miR-21a-5p,Teff,10.9768867125506,2148.13939876906,11.1119267770401
mmu-miR-21a-5p,Tmem,7.42064040697568,170.917416532426,1.02655981672949
mmu-miR-21a-5p,Tex,8.26044475359041,339.212579648449,1.84051603224653
mmu-miR-222-3p,Tn,0,0,0
mmu-miR-222-3p,Teff,0,0,0
mmu-miR-222-3p,Tmem,2.09958593517158,3.3926771628686,0.0203770108230952
mmu-miR-222-3p,Tex,0,0,0
mmu-miR-23a-3p,Tn,4.48177153025081,38.2939969918852,0.19396907486219
mmu-miR-23a-3p,Teff,4.9554483900573,31.9579607096505,0.165312604737222
mmu-miR-23a-3p,Tmem,7.12503044008069,138.898959672771,0.834251379867685
mmu-miR-23a-3p,Tex,6.12869001222324,70.769380718382,0.383983931077469
mmu-miR-23b-3p,Tn,2.2646450148537,11.0457503415931,0.0559496041996229
mmu-miR-23b-3p,Teff,5.03446048995454,32.6527205030094,0.16890646831789
mmu-miR-23b-3p,Tmem,6.20995234614522,73.0714205416458,0.438879697582864
mmu-miR-23b-3p,Tex,6.24050770997229,75.4478320269193,0.409368498620252
mmu-miR-24-3p,Tn,10.2400708897139,2453.78930706119,12.4290823415026
mmu-miR-24-3p,Teff,12.202560851285,4858.321396733,25.1311956992919
mmu-miR-24-3p,Tmem,12.3299150169664,5168.59580459559,31.0434879578691
mmu-miR-24-3p,Tex,11.5413308698666,3460.16396227987,18.7743250954251
mmu-miR-25-3p,Tn,8.82113604180005,505.327183706544,2.55961388274629
mmu-miR-25-3p,Teff,9.85458185743596,946.931356978875,4.89830031871397
mmu-miR-25-3p,Tmem,9.06215411883203,539.019831117649,3.23744712664035
mmu-miR-25-3p,Tex,9.87336622079128,980.554709806187,5.3203412024504
mmu-miR-26a-5p,Tn,9.26270955162261,635.662949374329,3.21979850367768
mmu-miR-26a-5p,Teff,8.30113458329824,316.10674158535,1.6351615580618
mmu-miR-26a-5p,Tmem,7.4750623684376,176.920428860276,1.06261495587286
mmu-miR-26a-5p,Tex,6.6084254159753,111.80932004264,0.606660420159931
mmu-miR-26b-5p,Tn,8.69403581934047,484.341804913289,2.45331746999463
mmu-miR-26b-5p,Teff,7.75805727122923,216.064131708586,1.1176596882243
mmu-miR-26b-5p,Tmem,7.68480336736187,205.316945014671,1.23316938508565
mmu-miR-26b-5p,Tex,6.59436895267105,107.776670760929,0.584779876510552
mmu-miR-27a-3p,Tn,6.66556991126594,103.375899571133,0.52362587293012
mmu-miR-27a-3p,Teff,4.9554483900573,31.9579607096505,0.165312604737222
mmu-miR-27a-3p,Tmem,6.97813276276207,125.190745803927,0.751917456254825
mmu-miR-27a-3p,Tex,6.31094157836938,78.7895829615889,0.427500332579383
mmu-miR-27b-3p,Tn,4.72982601793367,26.0260972426883,0.13182896539913
mmu-miR-27b-3p,Teff,5.53984113020358,45.8528507896364,0.237188294570153
mmu-miR-27b-3p,Tmem,5.58038595952089,46.8612871770395,0.281457064775158
mmu-miR-27b-3p,Tex,6.1630820387645,70.8595733588118,0.384473302671158
mmu-miR-29a-3p,Tn,8.08502184828154,271.443375029774,1.37493143750842
mmu-miR-29a-3p,Teff,8.13454256089146,288.317363776947,1.491412259686
mmu-miR-29a-3p,Tmem,7.67918895398962,207.721154623765,1.2476094873629
mmu-miR-29a-3p,Tex,8.74576733114601,527.509834632954,2.86218839176269
mmu-miR-29b-3p,Tn,5.77583967263083,63.0749382537289,0.319491000708496
mmu-miR-29b-3p,Teff,6.31028028826916,78.5055551985831,0.406094679636441
mmu-miR-29b-3p,Tmem,6.22444463585666,73.7734409375964,0.443096154533994
mmu-miR-29b-3p,Tex,6.32624042725798,81.3502429087872,0.441394085254577
mmu-miR-29c-3p,Tn,3.14451420031079,11.1185390690759,0.0563182980743633
mmu-miR-29c-3p,Teff,4.30146540661795,20.1474948563061,0.104219254910717
mmu-miR-29c-3p,Tmem,3.55879546583322,11.0577179028935,0.0664145825167399
mmu-miR-29c-3p,Tex,5.75619522383731,82.9494265876546,0.450071013458456
mmu-miR-301a-3p,Tn,0,0,0
mmu-miR-301a-3p,Teff,2.85185993944874,6.25265305850853,0.0323438148325924
mmu-miR-301a-3p,Tmem,2.24301724722712,3.7594459226292,0.0225798879695007
mmu-miR-301a-3p,Tex,3.70146406256098,13.8549686447524,0.0751749594409723
mmu-miR-30b-5p,Tn,5.03506131429571,32.2213325581492,0.163209446860707
