"method","level","group","contrast","n_tested_universe","n_in_target_top","n_in_target_full","n_sig_down","n_sig_up","spearman_rho","spearman_p","spearman_n","hyper_top_overlap","hyper_top_expected","hyper_top_odds","hyper_top_p","hyper_full_overlap","hyper_full_p","hyper_top_overlap_UP","hyper_top_p_UP","hyper_top_p_BH","hyper_full_p_BH","spearman_p_BH"
"DGE_MAST","by_lineage","Non-T","miR29a_vs_Scr",7640,76,455,9,5,0.116235598682331,0.0131019997208108,455,3,0.0895287958115183,49.7631578947368,7.61282741527685e-05,5,7.56219984873617e-05,0,1,0.000119630145097208,0.00016271230810375,0.0196529995812162
"DGE_MAST","by_cluster","00_Activated_intermediate_CD4","EV_vs_Scr",3422,42,152,113,141,-0.156463829817974,0.0542337756214835,152,1,1.38690824079486,0.718537414965986,0.758041166501831,3,0.886698146381968,3,0.24877865208555,1,1,0.0911127430440923
"DGE_MAST","by_cluster","00_Activated_intermediate_CD4","miR29a_vs_EV",7570,86,418,1590,1504,0.300070329609569,3.8141402585313e-10,418,42,18.0634081902246,2.36109608797548,7.58535469890938e-09,141,3.38556772165505e-10,3,0.999998800515531,4.9304805542911e-08,1.46707934605052e-09,1.60193890858315e-08
"DGE_MAST","by_cluster","00_Activated_intermediate_CD4","miR29a_vs_Scr",6790,79,388,1606,1503,0.295327007396958,3.00528447444445e-09,388,40,18.6854197349043,2.16984334836801,1.52215212747405e-07,146,1.50432780294912e-10,7,0.999506932041294,6.59599255238755e-07,7.33359803937694e-10,4.20739826422224e-08
"DGE_MAST","by_cluster","01_Differentiated_activated_effector_CD4","EV_vs_Scr",3694,33,152,291,334,-0.0781923097936792,0.338300528953441,152,2,2.59962100703844,0.767746670860858,0.746474819166845,10,0.771515566623409,8,0.00759915137367226,1,1,0.417900653413074
"DGE_MAST","by_cluster","01_Differentiated_activated_effector_CD4","miR29a_vs_EV",7406,80,406,1561,1407,0.252283713674671,2.58739989445929e-07,406,42,16.8620037807183,2.53202764976959,4.86186895304694e-10,143,8.95751377301936e-12,6,0.998945631584451,6.32042963896102e-09,8.73357592869388e-11,1.21264956855909e-06
"DGE_MAST","by_cluster","01_Differentiated_activated_effector_CD4","miR29a_vs_Scr",6939,79,404,1568,1432,0.258568085567797,1.35717587403008e-07,404,43,17.8515636258827,2.44847478730027,6.65621723066919e-10,152,1.42171404460332e-12,6,0.999608617330545,6.48981179990246e-09,1.84822825798432e-11,8.74051005223217e-07
"DGE_MAST","by_cluster","02_Proliferative_CD8_effector","EV_vs_Scr",4408,29,189,177,287,-0.0961009439055004,0.188358144666635,189,0,1.16447368421053,0,1,6,0.779762395325191,4,0.116111827301072,1,1,0.272794554344781
"DGE_MAST","by_cluster","02_Proliferative_CD8_effector","miR29a_vs_EV",8118,84,430,1428,1630,0.288102624149711,1.15509352573326e-09,430,48,14.7760532150776,3.32670807453416,2.98457013934544e-16,147,1.11633426421571e-17,4,0.99998915567943,1.16398235434472e-14,4.35370363044126e-16,2.42569640403986e-08
"DGE_MAST","by_cluster","02_Proliferative_CD8_effector","miR29a_vs_Scr",7502,79,396,1335,1699,0.28500486396444,7.75148644182078e-09,396,44,14.0582511330312,3.20242379080097,2.82017922402881e-14,138,4.4976371765714e-17,5,0.99998086755229,5.49934948685617e-13,8.77039249431422e-16,8.13906076391182e-08
"DGE_MAST","by_cluster","03_IFNg-associated_early_activated_CD4","EV_vs_Scr",4524,40,200,194,189,-0.0554227888462205,0.435695199374275,200,2,1.71529619805482,1.16770833333333,0.517272935202474,13,0.086143825409431,3,0.232812606878559,0.80694577891586,0.152709508680355,0.508311065936654
"DGE_MAST","by_cluster","03_IFNg-associated_early_activated_CD4","miR29a_vs_EV",8164,87,447,1128,1291,0.222582123103257,2.00930818638778e-06,447,29,12.0205781479667,2.44980285107674,2.66696463912643e-06,113,2.16908750465966e-11,1,0.999999712591865,8.6676350771609e-06,1.69188825363453e-10,7.67190398438972e-06
"DGE_MAST","by_cluster","03_IFNg-associated_early_activated_CD4","miR29a_vs_Scr",7617,88,431,910,962,0.245009022442808,2.59853478976949e-07,431,28,10.5133254562164,2.71608946608947,5.89100928659789e-07,99,2.73209352076816e-11,4,0.997173975661499,2.08863056524834e-06,1.77586078849931e-10,1.21264956855909e-06
"DGE_MAST","by_cluster","04_Non-cycling_exhaustion-like_CD8","EV_vs_Scr",6046,41,266,96,104,-0.0128841785668031,0.834328287185394,266,0,0.651008931524975,0,1,3,0.80165649950615,2,0.156354511596083,1,1,0.874589897096613
"DGE_MAST","by_cluster","04_Non-cycling_exhaustion-like_CD8","miR29a_vs_EV",9617,93,501,623,664,0.166575147139552,0.0001801483813585,501,21,6.02464385983155,3.57239309827457,3.48781951417074e-07,61,9.84834495160931e-07,3,0.96014608778634,1.36024961052659e-06,2.74346752223402e-06,0.000420346223169834
"DGE_MAST","by_cluster","04_Non-cycling_exhaustion-like_CD8","miR29a_vs_Scr",9225,95,493,678,824,0.159238423049694,0.00038616232738758,493,25,6.98211382113821,3.6793745466269,1.18508638303313e-08,71,1.97241504308602e-08,3,0.992860778218505,6.60262413404173e-08,6.41034889002957e-08,0.000820426067873621
"DGE_MAST","by_cluster","05_CD4_TCF1hi_naive_stem-like_progenitor","EV_vs_Scr",6342,51,284,10,14,0.0440390673150955,0.459758174257818,284,0,0.0804162724692526,0,1,0,1,0,1,1,1,0.521887657265631
"DGE_MAST","by_cluster","05_CD4_TCF1hi_naive_stem-like_progenitor","miR29a_vs_EV",9154,92,505,586,425,0.192540203819068,1.31909885035344e-05,505,18,5.8894472361809,3.12147887323944,1.7027600224856e-05,50,0.00122824000664987,1,0.987674799357079,4.15047755480864e-05,0.00266118668107472,3.69347678098962e-05
"DGE_MAST","by_cluster","05_CD4_TCF1hi_naive_stem-like_progenitor","miR29a_vs_Scr",8836,83,490,609,413,0.176983235091732,8.18830001406406e-05,490,14,5.72057492077863,2.48136073706591,0.00147153645403236,37,0.30222656271951,2,0.905667298037062,0.00260863280487554,0.491118164419204,0.000202299176818053
"DGE_MAST","by_cluster","06_Transitional_progenitor-like_CD4","EV_vs_Scr",6412,53,296,120,101,-0.0728914300252833,0.211142754907439,296,0,0.991890205864005,0,1,2,0.97743371518134,0,1,1,1,0.286064377616531
"DGE_MAST","by_cluster","06_Transitional_progenitor-like_CD4","miR29a_vs_EV",9509,88,501,937,917,0.235986120342756,9.06380740892418e-08,501,23,8.67136397097487,2.69398995424707,9.14230954757447e-06,84,5.40061411581323e-07,3,0.992993622891707,2.37700048236936e-05,1.62018423474397e-06,7.61359822349631e-07
"DGE_MAST","by_cluster","06_Transitional_progenitor-like_CD4","miR29a_vs_Scr",9149,95,503,859,600,0.214524426680364,1.19806014726929e-06,503,24,8.91955404962291,2.73931295304129,4.78703097104504e-06,89,1.63530916764401e-09,2,0.988106560933755,1.43610929131351e-05,6.37770575381163e-09,5.03185261853102e-06
"DGE_MAST","by_cluster","07_Early_activated_CD4","EV_vs_Scr",5929,59,261,63,78,-0.0699125074483805,0.260407953355174,261,2,0.626918536009445,3.2620172270075,0.129519035274351,3,0.529304558504327,1,0.543975370612025,0.21046843232082,0.825715111266751,0.341785438778666
