"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Rps19",328.299026552562,0.394536751203642,0.394422947482173,0.0428734161685684,0.202344195065115
"Dock2",303.164763045686,-0.388603152551419,0.388841675078801,0.0429399092630674,0.202344195065115
"Eif3e",37.0461129888809,0.509823208629785,0.533945632080283,0.0431838164934563,0.202538181581985
"Pim1",61.1130012668919,0.4708122508427,0.483637870498881,0.0443342122226841,0.206962046777857
"Ssb",42.3581251636542,0.491999349632705,0.515542898955288,0.0448134765395684,0.208226339828041
"Atad2",58.6802271982053,0.466024329881902,0.48364642061641,0.0456936843490435,0.211301694072063
"Eif4g1",60.4548169904768,0.461351714356348,0.478537276801093,0.0458983659796174,0.211301694072063
"Eif3c",59.3719683742182,0.466048457388631,0.486181322569822,0.0462475057603087,0.211932377314442
"Psma3",42.1935894599418,0.482276618455422,0.513601619428995,0.0471353793841927,0.215014812807345
"Pcbp2",47.5440392402455,0.479791115856669,0.513969197590004,0.0479134128565925,0.217570452016982
"Smarca5",53.6849257842427,0.460461327133826,0.489518926220933,0.0486623881996191,0.218980746898286
"Ppm1h",78.2481708654032,-0.432731227836088,0.453826777932982,0.0485338879798166,0.218980746898286
"Fxyd5",58.7575294724604,0.448635435840965,0.47594524001717,0.0491717106703766,0.220280443765499
"Calm2",57.6004057956743,0.451565817477415,0.482296511657154,0.0497783108406397,0.222002377365174
"Pitpna",37.7680020179492,0.473832398995436,0.517956404852639,0.0504145392805125,0.223840554405476
"Nedd9",84.7948748615392,-0.411250532699994,0.436952542350045,0.0509503234461803,0.225218465144841
"Dynll1",37.6743210119688,0.475695807656452,0.527994512090205,0.0516337399640398,0.227233948123682
"Dnmt1",69.1552752729002,0.427857854269726,0.463162395009919,0.0528155713119173,0.231415595353532
"G3bp1",62.3485010436568,0.439085705099043,0.479055640958901,0.0531399582889614,0.231820167382849
"Snd1",112.786931911923,-0.377123727317323,0.4101833425962,0.0549619454053376,0.238726015043184
"Utrn",82.825202675808,-0.403230664622563,0.442039655957281,0.05563833485423,0.240617733850111
"Msn",80.6061593065932,0.395257440315325,0.4403189963404,0.0583264170602743,0.251155563117302
"Nsa2",38.7412255383447,0.429906588371633,0.510340873161813,0.0642874967703624,0.27563609130297
"Rfc1",41.3552987034911,0.424211607163815,0.503298917833692,0.0649702789815765,0.277373114113654
"Mtpn",36.6720649258071,0.420240325752214,0.500677625395099,0.0659955491233121,0.280551291805059
"Exoc4",297.246811111162,-0.310939957103178,0.36375999617657,0.0669890638081179,0.283568113323347
"Oxct1",47.3643042173781,0.39747300559213,0.471646397694989,0.0678923995586324,0.286179355101577
"Atxn1",112.47963750713,-0.343588874022412,0.403477159248216,0.0684934262341446,0.287499717680296
"Eif2s1",39.5367146076991,0.404143670107111,0.488168223991797,0.069811970205599,0.290592325980806
